iter	Passed	Remaining
598	1681	11166
599	1683	11156
600	1684	11145
601	1686	11134
602	1687	11122
603	1690	11122
604	1692	11110
605	1693	11099
606	1695	11088
607	1696	11076
608	1697	11063
609	1699	11051
610	1700	11040
611	1702	11028
612	1703	11014
613	1706	11015
614	1708	11004
615	1709	10990
616	1710	10978
617	1711	10967
618	1713	10957
619	1715	10949
620	1717	10941
621	1718	10930
622	1720	10921
623	1722	10910
624	1723	10896
625	1724	10884
626	1725	10872
627	1727	10861
628	1728	10850
629	1730	10839
630	1731	10828
631	1733	10817
632	1735	10813
633	1737	10806
634	1739	10795
635	1740	10786
636	1742	10776
637	1743	10765
638	1744	10753
639	1746	10741
640	1747	10731
641	1749	10723
642	1751	10718
643	1753	10708
644	1755	10699
645	1756	10688
646	1758	10678
647	1759	10668
648	1760	10658
649	1762	10647
650	1763	10636
651	1765	10625
652	1766	10616
653	1770	10621
654	1772	10611
655	1773	10598
656	1774	10588
657	1775	10577
658	1777	10569
659	1779	10560
660	1780	10551
661	1784	10551
662	1785	10541
663	1786	10530
664	1788	10519
665	1789	10509
666	1790	10498
667	1792	10488
668	1793	10478
669	1795	10468
670	1796	10458
671	1799	10456
672	1800	10446
673	1802	10435
674	1803	10423
675	1804	10413
676	1806	10404
677	1807	10394
678	1808	10384
679	1809	10371
680	1810	10360
681	1812	10350
682	1814	10344
683	1816	10336
684	1817	10326
685	1818	10316
686	1820	10307
687	1821	10298
688	1823	10288
689	1824	10279
690	1826	10269
691	1827	10260
692	1829	10250
693	1831	10246
694	1833	10239
695	1835	10233
696	1836	10224
697	1838	10216
698	1839	10207
699	1841	10196
700	1842	10187
701	1844	10180
702	1846	10178
703	1848	10169
704	1850	10160
705	1851	10152
706	1853	10144
707	1854	10135
708	1856	10127
709	1857	10118
710	1859	10110
711	1863	10116
712	1865	10108
713	1866	10099
714	1868	10091
715	1870	10085
716	1871	10075
717	1873	10067
718	1874	10059
719	1877	10060
720	1879	10050
721	1880	10040
722	1882	10032
723	1883	10023
724	1885	10015
725	1886	10007
726	1887	9997
727	1889	9988
728	1890	9979
729	1893	9978
730	1894	9968
731	1896	9959
732	1897	9950
733	1898	9940
734	1899	9931
735	1901	9922
736	1902	9912
737	1903	9904
738	1905	9895
739	1907	9888
740	1909	9885
741	1910	9876
742	1912	9868
743	1913	9860
744	1915	9851
745	1916	9842
746	1917	9833
747	1919	9823
748	1920	9816
749	1923	9814
750	1925	9808
751	1927	9806
752	1930	9804
753	1932	9796
754	1933	9787
755	1935	9780
756	1936	9771
757	1938	9765
758	1940	9762
759	1942	9754
760	1943	9746
761	1945	9738
762	1946	9729
763	1947	9719
764	1949	9711
765	1950	9703
766	1951	9694
767	1953	9687
768	1954	9679
769	1957	9678
770	1959	9671
771	1960	9662
772	1961	9654
773	1963	9646
774	1964	9637
775	1965	9628
776	1967	9621
777	1968	9613
778	1970	9607
779	1972	9601
780	1973	9593
781	1975	9585
782	1977	9579
783	1978	9572
784	1979	9563
785	1981	9555
786	1982	9546
787	1983	9537
788	1985	9530
789	1987	9527
790	1988	9519
791	1990	9511
792	1991	9502
793	1992	9494
794	1994	9486
795	1995	9478
796	1997	9471
797	1998	9462
798	1999	9456
799	2001	9450
800	2003	9446
801	2005	9439
802	2006	9432
803	2008	9424
804	2010	9419
805	2011	9411
806	2012	9403
807	2014	9394
808	2016	9390
809	2018	9389
810	2021	9385
811	2023	9381
812	2025	9375
813	2026	9369
814	2028	9361
815	2029	9355
816	2033	9360
817	2035	9353
818	2036	9345
819	2038	9340
820	2040	9334
821	2041	9327
822	2043	9321
823	2045	9314
824	2047	9310
825	2051	9314
826	2052	9307
827	2054	9300
828	2055	9293
829	2056	9286
830	2058	9278
831	2059	9270
832	2060	9261
833	2064	9263
834	2065	9255
835	2066	9247
836	2068	9241
837	2069	9234
838	2071	9228
839	2072	9221
840	2074	9214
841	2075	9207
842	2077	9200
843	2080	9200
844	2082	9198
845	2084	9192
846	2086	9186
847	2087	9179
848	2088	9171
849	2090	9164
850	2091	9157
851	2094	9155
852	2095	9150
853	2097	9142
854	2098	9136
855	2100	9130
856	2102	9125
857	2103	9117
858	2104	9110
859	2106	9104
860	2108	9098
861	2111	9099
862	2113	9094
863	2116	9094
864	2117	9086
865	2118	9080
866	2120	9073
867	2121	9067
868	2123	9059
869	2125	9054
870	2126	9047
871	2128	9041
872	2129	9034
873	2130	9028
874	2132	9021
875	2133	9014
876	2135	9007
877	2136	9000
878	2137	8994
879	2140	8993
880	2143	8992
881	2144	8984
882	2146	8977
883	2147	8970
884	2148	8964
885	2150	8958
886	2151	8950
887	2163	8988
888	2167	8989
889	2178	9025
890	2183	9033
891	2186	9034
892	2193	9049
893	2198	9055
